objectid,route_name_ruta_troncal,nombre_ruta_troncal,servicio_unico_ruta_troncal,origen_ruta_troncal,destino_ruta_troncal,tipo_ruta_troncal,tipo_operacion,tipo_bus_ruta_troncal,estado_ruta_troncal,longitud_ruta_troncal,globalid
91,H73,H73,H73,TOBERIN,PORTAL TUNAL,TRONCAL,Normal,ARTICULADO,OPERATIVA,25.42429785,{1A8B40E5-38B9-4CE0-B735-B707B5A15BF5}
92,M82R,M82R,M82-L82,PORTAL 20 DE JULIO,CLINICA EL BOSQUE,DUAL,Refuerzo,DUAL,OPERATIVA,18.8848611,{07B1AA1D-788B-4067-8144-3D8EBC8D0952}
93,J74,J74,BJ74,PORTAL NORTE,AGUAS,TRONCAL,Normal,BIARTICULADO,OPERATIVA,19.24351493,{9586C3D1-D138-4A78-B8A3-DB98481CB556}
94,G45,G45,GG45,PORTAL SUR,SAN MATEO,TRONCAL,Normal,ARTICULADO,OPERATIVA,4.47782336,{ED88E6A9-C7C8-4AE3-8872-5152F5E4E6DE}
96,8-1,8 G,8,GUATOQUE - VERAGUAS,TERMINAL,TRONCAL,Normal,ARTICULADO,OPERATIVA,21.36424904,{2E5EE7BE-9C1D-474D-9628-ACE3716D770F}
97,M81,M81,D81-M81,PUENTE DE GUADUA,MUSEO NACIONAL,DUAL,Normal,DUAL,OPERATIVA,18.52219578,{B6B2476C-1641-45E6-AAB1-8279D61AAD55}
98,D10,D10,BD10,PORTAL NORTE,PORTAL 80,TRONCAL,Normal,BIARTICULADO,OPERATIVA,18.04766299,{FE492D4D-6E5D-45C5-A157-0233EB7A8D8C}
99,M84,M84,C84-M84,ETB TIBABUYES,MUSEO NACIONAL,DUAL,Normal,DUAL,OPERATIVA,21.07206323,{CEA90625-20E0-4C86-BFDB-2F970D2092A1}
100,D21,D21,DH21,PORTAL TUNAL,PORTAL 80,TRONCAL,Normal,BIARTICULADO,OPERATIVA,24.07761549,{4CBB645F-2650-416A-A45F-817A27D84CD5}
101,D21,D21,DH21,PORTAL TUNAL,PORTAL 80,TRONCAL,Normal,BIARTICULADO,OPERATIVA,22.43105983,{DFB79F2A-7C3D-4756-9C24-1AE370606E43}
102,C50,C50,BC50,CALLE 161,PORTAL SUBA,TRONCAL,Normal,ARTICULADO,OPERATIVA,20.22111342,{F85A51C9-A948-455D-A585-5767D3F85EA2}
103,H20,H20,DH20,PORTAL 80,PORTAL USME,TRONCAL,Normal,BIARTICULADO,OPERATIVA,26.06301586,{74494FC3-73B8-49DA-9E3B-1183497272DF}
104,G12GS,G12GS,BG12,PORTAL NORTE,G. SANTANDER,TRONCAL,Refuerzo,BIARTICULADO,OPERATIVA,22.24982201,{AE39B7DB-6071-464B-9AEE-B0C4849731FF}
105,H54,H54,HK54,PORTAL ELDORADO,PORTAL USME,TRONCAL,Normal,BIARTICULADO,OPERATIVA,22.16685219,{015B188F-33C3-4124-B672-8D32C616E081}
106,B12,B12,BG12,PORTAL SUR,PORTAL NORTE,TRONCAL,Normal,BIARTICULADO,OPERATIVA,27.23350822,{B57B6133-32B1-419C-B4B8-2BBF7B3B1CA5}
107,F32,F32,EF32,NQS - CALLE 75,PORTAL AMERICAS,TRONCAL,Normal,ARTICULADO,OPERATIVA,18.31640235,{98BE4B92-3778-4F2A-90A8-A5652EE94DC8}
108,B28,B28,BF28,PORTAL AMERICAS,PORTAL NORTE,TRONCAL,Normal,ARTICULADO,OPERATIVA,29.3991019,{6D781553-1D1D-42A3-B7DD-D9F88CAD7068}
109,F51,F51,FM51,MUSEO NACIONAL,PORTAL AMERICAS,TRONCAL,Normal,BIARTICULADO,OPERATIVA,14.92051726,{AC3AFDFE-0EDE-480C-A08C-FEC1291F4AE4}
110,B72,B72,BH72,PORTAL USME,TOBERIN,TRONCAL,Normal,ARTICULADO,OPERATIVA,30.87291986,{7DA72EAA-17A2-4635-BD1E-5BA0953FC84D}
111,K10,K10,KL10,PORTAL 20 DE JULIO,PORTAL ELDORADO,TRONCAL,Normal,BIARTICULADO,OPERATIVA,18.83643503,{B9C5356A-4CCA-4179-B033-096965F6BD85}
112,B11,B11,BG11,PORTAL SUR,TERMINAL,TRONCAL,Normal,ARTICULADO,OPERATIVA,30.62804105,{96704C2D-7C65-4514-AF51-509356816C7D}
113,M83,M83,H83-M83,CL67D Sur - Av Caracas,MUSEO NACIONAL B - 7,DUAL,Normal,DUAL,OPERATIVA,14.45073704,{110A2E5F-7D97-45AA-B0BA-8259F1AFE1A9}
114,C17,C17,CH17,PORTAL USME,PORTAL SUBA,TRONCAL,Normal,BIARTICULADO,OPERATIVA,30.84737487,{64C4B874-8E0A-4D0F-B98D-841DD1BD66B9}
